제목,저자,저자2,발행년,발행처,유형,참조
노자와 21세기,김용옥,,2000,EBS,강의,http://home.ebs.co.kr/especial/replay/18/list?courseId=BP0PQ000000000024&stepId=01BP0PQ000000000024
(도올 김용옥이 말하는)老子와 21세기,김용옥,,2000,통나무,도서,https://lod.nl.go.kr/page/KMO200026575
老子王弼注,노자,왕필,2008,통나무,도서,http://www.hooz.com/?m=221&s=books_view&bookID=1
초원 이충익의 『담노談老』역주,김학목,김용옥,2014,통나무,도서,https://lod.nl.go.kr/page/KMO201423457
(노자의 목소리로 듣는) 도덕경,최진석,,2001,소나무,도서,https://lod.nl.go.kr/page/KMO201867756
도덕경,노자,오강남,1995,현암사,도서,https://lod.nl.go.kr/page/KMO199600399
도덕경,노자,소준섭,2019,현대지성,도서,https://lod.nl.go.kr/page/KMO201902522
노자 도덕경,노자,황병국,1986,범우사,도서,https://lod.nl.go.kr/page/KMO198605620
노자 도덕경과 왕필의 주,노자,김학목,2012,홍익출판사,도서,https://lod.nl.go.kr/page/KMO201236631
도덕경,노자,장석만,2017,돋을새김,도서,https://lod.nl.go.kr/page/KMO201720809
낭송 도덕경 계사전,"공자,노자",손영달,2015,북드라망,도서,https://lod.nl.go.kr/page/KMO201528092
노자와 황로학,이석명,,2010,소와당,도서,https://lod.nl.go.kr/page/KMO201028923
노자의 인생 강의,신정근,,2017,휴머니스트,도서,https://lod.nl.go.kr/page/KMO201761616
노자,노자,김원중,2013,글항아리,도서,https://lod.nl.go.kr/page/KMO201312992
도덕경,노자,이석명,2015,Olje(올재),도서,https://lod.nl.go.kr/page/KMO201536528
도덕경,노자,임건순,2017,더퀘스트,도서,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9791160503500&orderClick=LAG&Kc=
생각하는 힘 노자 인문학,최진석,,2015,위즈덤하우스,도서,https://lod.nl.go.kr/page/KMO201520575
세상에 쓸모없는 사람은 없다,"양셴쥐,웨이완레이",조영숙,2014,유아이북스,도서,https://lod.nl.go.kr/page/KMO201425853
노자타설,난화이진,설순남,2013,부키,도서,https://lod.nl.go.kr/page/KMO201305505
ctext.org,노자,,,,Web,https://ctext.org/dao-de-jing
wikisource.org,노자,,,,Web,https://zh.wikisource.org/wiki/%E9%81%93%E5%BE%B7%E7%B6%93
Tao Te Ching,노자,D. C. Lau,1964,Penguin Classics,도서,https://www.amazon.com/Tao-Te-Ching-Lao-Tzu-dp-014044131X/dp/014044131X/ref=mt_paperback?_encoding=UTF8&me=&qid=1565086033
Tao Te Ching,노자,"Gia-Fu Feng,Jacob Needleman,Jane English,Toinette Lippe",1989,Vintage,도서,https://www.amazon.com/Tao-Te-Ching-Text-Only/dp/0679724346/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=1565086187&sr=1-4
Tao Te Ching,노자,"Ancient Renewal,Sam Torode",2018,Independently published,도서,https://www.amazon.com/Tao-Te-Ching-Lao-Tzu/dp/1718040504/ref=sr_1_3?keywords=tao+te+ching+english&qid=1565086187&s=books&sr=1-3
Tao Te Ching,노자,Stephen Mitchell,2006,Harper Perennial Modern Classics,도서,https://www.amazon.com/Tao-Te-Ching-Perennial-Classics/dp/0061142662/ref=sr_1_1?keywords=tao+te+ching+Mitchell&qid=1565086438&s=audible&sr=1-1-catcorr
daodejing.org,노자,,,,Web,https://www.daodejing.org/
terebess.hu,노자,,,,Web,https://terebess.hu/english/tao/lau.html
현대철학자 노자,최진석,,2013,EBS,강의,https://www.youtube.com/playlist?list=PLhIZCnsjA5SGgbvlJw5pU_GLLz9l86DMd
[8대 고전읽기] 노자,김원중,,2016,플라톤 아카데미,강의,https://www.youtube.com/watch?v=XIA4t8r3awk
[나는 누구인가] 자신의 주인으로 산다는 것,최진석,,2013,플라톤 아카데미,강의,https://www.youtube.com/watch?v=xqkdjSR5eIw
"[지혜의 향연] 도덕경, 세상을 움직이는 두 가지 힘",김시천,,2018,플라톤 아카데미,강의,https://www.youtube.com/watch?v=7tHxrIhd7pQ
"[도올김용옥] 고전의 향연 종강, 노자 1장",김용옥,,2012,한국고전번역원,강의,https://www.youtube.com/watch?v=BQW91XDzbog
노자의 시니피앙과 연극이라는 시니피에,김용옥,,2013,국립극단,강의,https://www.youtube.com/playlist?list=PLrsCvvY6H0pVLGPhE2kKDDUF9m_SVLfmW
河上公의 氣와 王弼의 道,김시천,,2012,韓國道敎文化學會,논문,https://lod.nl.go.kr/page/CNTS-00086676942
李匡呂의 ｢讀老子五則｣ 分析,김학목,,2011,인천학연구원,논문,https://lod.nl.go.kr/page/CNTS-00082064329
「초원담로」의 생명 사상,김학목,,2011,서강대학교 생명문화연구소,논문,http://scholar.dkyobobook.co.kr/searchDetail.laf?barcode=4010023303668
"노자 (老子) , 하상공 (河上公) , 그리고 황로학 (黃老學)",김시천,,2002,한국철학사상연구회,논문,https://lod.nl.go.kr/page/CNTS-00030579353
江華學派의 『道德經』 주석에 관한 고찰,김학목,,2004,한국동서철학회,논문,https://lod.nl.go.kr/page/CNTS-00030568370
김윤경 박사의 ｢조선시대 노자 주석서에서 ‘주자’의 견해｣에 대한 논평,김학목,,2012,한국동양철학회,논문,http://scholar.dkyobobook.co.kr/searchDetail.laf?barcode=4010025746711
18~9세기의 조선조 『도덕경』 주석 고찰,김학목,,2013,한서대학교 동양고전연구소,논문,http://kiss.kstudy.com/thesis/thesis-view.asp?key=3178771
위진현학에서 지와 무에 대한 고찰,김학목,,2000,한국도교학회,논문,http://kiss.kstudy.com/thesis/thesis-view.asp?key=1715723
도교의 생사관,최진석,,2006,철학연구회,논문,http://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE07023320
(내 안의 나를 키우는) 도덕경,노자,최상용,2018,일상이상,도서,https://lod.nl.go.kr/page/KMO201812992
노자,김용옥,,2017,hooz.com,강의,http://www.hooz.com/?m=218
도가 인간학,렁청진,김태성,2008,북이십일 21세기북스,도서,https://lod.nl.go.kr/page/KMO200829294
(명역고전) 한비자,한비자,김원중,2016,Humanist(휴머니스트 출판그룹),도서,https://lod.nl.go.kr/page/KMO201619913
"법가, 절대권력의 기술",푸정위안,"윤지산,윤태준",2011,돌베개,도서,https://lod.nl.go.kr/page/KMO201131448
"도, 상상하는 힘",이용주,,2003,이학사,도서,https://lod.nl.go.kr/page/KMO200331450
한비자 교양강의,가이즈카 시게키,이목,2012,돌베개,도서,https://lod.nl.go.kr/page/KMO201236965
노자를 읽다,양자오,정병윤,2015,유유,도서,https://lod.nl.go.kr/page/KMO201543789
(오강남의) 작은 도덕경,노자,오강남,2017,현암사,도서,https://lod.nl.go.kr/page/KMO201738090
손자병법,손무,황병국,2008,범우사,도서,https://lod.nl.go.kr/page/KMO200853343
Sun Tzu's The Art of War,손무,"John Minford,Lionel Giles",2017,Tuttle Publishing,도서,https://www.amazon.com/Art-War-Bilingual-Chinese-Complete/dp/0804848203/ref=tmm_pap_title_0?_encoding=UTF8&qid=1565513059&sr=8-1
인간이 그리는 무늬,최진석,,2013,소나무,도서,https://lod.nl.go.kr/page/KMO201330290
춘추전국이야기,공원국,,2017,위즈덤하우스,도서,https://lod.nl.go.kr/page/KMO201751564
남다르게 결단하라,신동준,,2015,미다스북스,도서,https://lod.nl.go.kr/page/KMO201545671
저것을 버리고 이것을,최진석,,2014,소나무,도서,https://lod.nl.go.kr/page/KMO201443154
귀곡자,장석만,,2016,자유문고,도서,https://lod.nl.go.kr/page/KMO201642930
사기본기,사마천,김원중,2010,민음사,도서,https://lod.nl.go.kr/page/KMO201011461
관자,"고대혁,김필수,신창호,장승구",,2006,소나무,도서,https://lod.nl.go.kr/page/KMO200703938
장자,장자,김학주,2010,연암서가,도서,https://lod.nl.go.kr/page/KMO201023715
관자 평전,신동준,,2017,리더북스,도서,https://lod.nl.go.kr/page/KMO201762137
"제자백가, 사상을 논하다",신동준,,2007,한길사,도서,https://lod.nl.go.kr/page/KMO200752387
(유향의)전국책,신동준,,2004,인간사랑,도서,https://lod.nl.go.kr/page/KMO200507552
상군서,상앙,신동준,2013,인간사랑,도서,https://lod.nl.go.kr/page/KMO201309014
"철두철미한 시스템의 힘, 상군서",신동준,,2015,위즈덤하우스,도서,https://lod.nl.go.kr/page/KMO201569319
장자,장자,김갑수,2015,글항아리,도서,https://lod.nl.go.kr/page/KMO201565683
강신주의 노자 혹은 장자,강신주,,2014,오월의봄,도서,https://lod.nl.go.kr/page/KMO201448298
낭송 장자,장자,"고미숙,이희경",2014,북드라망,도서,https://lod.nl.go.kr/page/KMO201507340
관자,신창호,,2013,살림출판사,도서,https://lod.nl.go.kr/page/KMO201330289
어떻게 세상의 마음을 얻는가,신동준,,2012,북이십일 21세기북스,도서,https://lod.nl.go.kr/page/KMO201255552
三國志,나관중,황석영,2003,창작과비평사,도서,https://lod.nl.go.kr/page/KMO200332148
항우와 유방,시바 료타로,양억관,2002,달궁,도서,https://lod.nl.go.kr/page/KMO200303656
"논어로 망한 조직, 한비자로 살린다",모리야 아쓰시,하진수,2017,시그마북스,도서,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9788984459410&orderClick=LAG&Kc=
초한지,이문열,,2008,민음사,도서,https://lod.nl.go.kr/page/KMO200801725
(이문열 평역)三國志,나관중,이문열,2003,민음사,도서,https://lod.nl.go.kr/page/KMO200313368
무경십서,"단도제,당태종,사마양저,손무,손빈,여망,오기,율료자,제갈량,황석공",신동준,2012,위즈덤하우스,도서,https://lod.nl.go.kr/page/KMO201247330
도설천하 삼십육계,도설천하·국학서원계열,유소영,2010,시그마북스,도서,https://lod.nl.go.kr/page/KMO201004652
순자 교양강의,우치야마 도시히코,석하고전연구회,2013,돌베개,도서,https://lod.nl.go.kr/page/KMO201310154
맹자 교양강의,푸페이룽,정광훈,2010,돌베개,도서,https://lod.nl.go.kr/page/KMO201101924
노자의 수사학,안성재,,2018,어문학사,도서,https://lod.nl.go.kr/page/KMO201849241
장자 교양 강의,푸페이룽,심의용,2011,돌베개,도서,https://lod.nl.go.kr/page/KMO201112628
상대를 열광케하라,귀곡자,신동준,2015,미다스북스,도서,https://lod.nl.go.kr/page/KMO201602061
귀곡자,귀곡자,신동준,2013,인간사랑,도서,https://lod.nl.go.kr/page/KMO201309020
손자병법,손무,김원중,2016,Humanist(휴머니스트 출판그룹),도서,https://lod.nl.go.kr/page/KMO201653120
귀곡자,"공원국,박찬철",,2008,위즈덤하우스,도서,https://lod.nl.go.kr/page/KMO200831484
오자서병법,공원국,,2014,위즈덤하우스,도서,https://lod.nl.go.kr/page/KMO201416594
사기열전,사마천,김원중,2011,민음사,도서,https://lod.nl.go.kr/page/KMO201126503
CEO를 위한 노자,베르너 슈반펠더,신인아,2010,한울,도서,https://lod.nl.go.kr/page/KMO201110384
(똑똑한 리더의) 노자지혜,링용팡,오수현,2011,북메이드,도서,https://lod.nl.go.kr/page/KMO201204989
종횡가 인간학,렁청진,김태성,2008,북이십일 21세기북스,도서,https://lod.nl.go.kr/page/KMO200832582
귀곡자 교양강의,심의용,,2011,돌베개,도서,https://lod.nl.go.kr/page/KMO201140521
손정의 제곱법칙,이타가키 히데노리,김정환,2015,한국경제신문 한경BP,도서,https://lod.nl.go.kr/page/KMO201568094
낭송 손자병법/오자병법,"손무,오기","고미숙,손영달",2015,북드라망,도서,https://lod.nl.go.kr/page/KMO201513451
귀곡자,귀곡자,김영식,2009,지식을만드는지식,도서,https://lod.nl.go.kr/page/KMO200956550
(군인과 리더가 읽어야 할) 손자병법 그리고 삼십육계,박세훈,,2014,밥북,도서,https://lod.nl.go.kr/page/KMO201458330
(마흔에 읽는) 오자병법,이영직,,2016,북에디션,도서,https://lod.nl.go.kr/page/KMO201642513
노자 마케팅,이용찬,,2017,마일스톤,도서,https://lod.nl.go.kr/page/KMO201753576
"노자, 무위경영의 지혜",윤홍식,,2016,봉황동래,도서,https://lod.nl.go.kr/page/KMO201627520
손자병법,손무,임용한,2015,Olje(올재),도서,https://lod.nl.go.kr/page/KMO201567468
오자병법,오기,임용한,2015,Olje(올재),도서,https://lod.nl.go.kr/page/KMO201567466
회남자,김성환,,2007,살림출판사,도서,https://lod.nl.go.kr/page/KMO200727284
(무경칠서) 손자병법 ;오자병법,"손무,오기",성백효,2016,傳統文化硏究會,도서,https://lod.nl.go.kr/page/KMO201617693
The Seven Military Classics Of Ancient China,Ralph D. Sawyer,,2007,Basic Books,도서,https://www.amazon.com/Military-Classics-Ancient-History-Warfare/dp/0465003044/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
Chuang Tsu,Chuang Tsu,"Gia-Fu Feng,Jane English",2014,Hay House Inc.,도서,https://www.amazon.com/Chuang-Tsu-Chapters-Gia-Fu-Feng/dp/1401946593/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
Gui Guzi,Chao Zheng,,2016,XLIBRIS,도서,https://www.amazon.com/Gui-Guzi-Chao-Zheng/dp/1524595462/ref=tmm_pap_title_0?_encoding=UTF8&qid=&sr=
Lao Tzu: Tao Te Ching,Ursula K. Le Guin,,2019,Shambhala,도서,https://www.amazon.com/Lao-Tzu-Ching-about-Power/dp/1611807247/ref=tmm_pap_title_0?_encoding=UTF8&qid=&sr=
"[신정근의 동양철학 톺아보기] ",신정근,,2015,매일경제,신문,http://find.mk.co.kr/new/search.php?page=news&s_keyword=%5B%BD%C5%C1%A4%B1%D9%C0%C7+%B5%BF%BE%E7%C3%B6%C7%D0+%C5%EC%BE%C6%BA%B8%B1%E2%5D+%B3%EB%C0%DA&area=tt
사회적 맥락에서 본 노자의 철학,최진석,,1999,철학연구회,논문,http://developetc.dbpia.co.kr/openurl/?vol=44&page=113&issn=1229-022X&year=1999
노장(老莊)에게서 인간은 어떠한 존재인가?,최진석,,2004,가톨릭대학교 인간학연구소,논문,http://developetc.dbpia.co.kr/openurl/?page=150&issn=1229-6740&issue=6&year=2004
쾨니히스베르그의 위대한 중국인과 노장(老莊)의 어색한 만남,최진석,,2010,동양철학연구회,논문,http://kiss.kstudy.com/thesis/thesis-view.asp?key=2847108
도가의 자연관과 생태문제,최진석,,2000,한국동양철학회,논문,http://scholar.dkyobobook.co.kr/searchDetail.laf?barcode=4030006884740
노자와 유가 사이,최진석,,2001,한국동양철학회,논문,http://scholar.dkyobobook.co.kr/searchDetail.laf?barcode=4030006885024
중국 사유의 현상성,최진석,,2014,서강대학교 철학연구소,논문,http://kiss.kstudy.com/thesis/thesis-view.asp?key=3204871
동아시아에 있어서의 공복(共福)의 사상,최진석,,2007,한국동양철학회,논문,http://scholar.dkyobobook.co.kr/searchDetail.laf?barcode=4010021775513
"""욕망""(欲): 선진 철학을 읽는 또 하나의 창",최진석,,2005,철학연구회,논문,http://developetc.dbpia.co.kr/openurl/?vol=69&page=25&issn=1229-022X&year=2005
노자론,신동준,,2007,인간사랑,도서,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9788974187248&orderClick=LAG&Kc=
"[최진석의 재밌는 철학] 중국 대국화, ‘사소(事小)의 지혜’로부터",최진석,,2013,THEAsiaN,신문,http://kor.theasian.asia/archives/89433
노자의 리더십…“‘가치판단’ 말고 ‘조짐’을 읽어라”,최진석,,2012,THEAsiaN,신문,http://kor.theasian.asia/archives/43688
미국의 동아시아 독법,최진석,,2008,한국유교학회,논문,http://developetc.dbpia.co.kr/openurl/?vol=34&page=157&issn=1226-7082&year=2008
(성과주의의) 허상,다카하시 노부오,정경진,2007,오즈컨설팅그룹,도서,https://lod.nl.go.kr/page/KMO200831833
실용주의,윌리엄 제임스,정해창,2008,아카넷,도서,https://lod.nl.go.kr/page/KMO200822014
괴델 불완전성 정리,요시나가 요시마사,임승원,1993,전파과학사,도서,https://lod.nl.go.kr/page/KMO199316308
,,,,,,